docid	DW
msmarco_passage_22_191649708	46
msmarco_passage_22_191650230	38
msmarco_passage_22_191650603	48
msmarco_passage_22_191651976	45
msmarco_passage_23_11763693	43
msmarco_passage_23_11830548	44
msmarco_passage_23_865143165	51
msmarco_passage_26_452021722	61
msmarco_passage_27_681390048	47
msmarco_passage_28_401874643	49
msmarco_passage_30_513431899	66
msmarco_passage_31_217662854	85
msmarco_passage_31_217727024	50
msmarco_passage_31_217742908	54
msmarco_passage_31_217751918	54
msmarco_passage_32_342116248	80
msmarco_passage_32_366120795	63
msmarco_passage_32_406235114	54
msmarco_passage_32_580847864	47
msmarco_passage_32_74254010	48
msmarco_passage_33_98793262	45
msmarco_passage_35_429424562	74
msmarco_passage_36_308320933	69
msmarco_passage_36_309457427	50
msmarco_passage_36_810874491	49
msmarco_passage_37_267685777	38
msmarco_passage_38_425731765	63
msmarco_passage_38_426306410	57
msmarco_passage_39_167237209	50
msmarco_passage_39_224640845	41
msmarco_passage_40_239292305	59
msmarco_passage_40_295670554	75
msmarco_passage_40_637089579	39
msmarco_passage_40_637095825	67
msmarco_passage_40_637313108	71
msmarco_passage_41_22545640	54
msmarco_passage_41_486659984	46
msmarco_passage_42_281322110	48
msmarco_passage_42_427479405	52
msmarco_passage_42_691736478	76
msmarco_passage_43_144849370	44
msmarco_passage_43_253829099	55
msmarco_passage_43_654502673	72
msmarco_passage_43_654503256	52
msmarco_passage_45_586357745	44
msmarco_passage_46_220865930	55
msmarco_passage_46_287273891	58
msmarco_passage_46_288471629	12
msmarco_passage_46_288471811	44
msmarco_passage_46_288472260	43
msmarco_passage_46_288475329	71
msmarco_passage_46_288475887	71
msmarco_passage_46_290090663	48
msmarco_passage_46_291756097	649
msmarco_passage_46_293631634	68
msmarco_passage_46_293640527	68
msmarco_passage_46_75492057	41
msmarco_passage_47_350781684	52
msmarco_passage_47_350799291	32
msmarco_passage_47_350800078	55
msmarco_passage_47_350800991	57
msmarco_passage_47_350804296	62
msmarco_passage_47_350804814	73
msmarco_passage_47_350805361	68
msmarco_passage_47_350805894	35
msmarco_passage_47_350807304	33
msmarco_passage_47_350819948	43
msmarco_passage_47_93615706	66
msmarco_passage_47_93817570	43
msmarco_passage_47_94054391	68
msmarco_passage_47_95488486	48
msmarco_passage_48_256175906	46
msmarco_passage_48_477894792	51
msmarco_passage_48_83368132	51
msmarco_passage_48_83961009	55
msmarco_passage_49_272931969	52
msmarco_passage_49_276129567	45
msmarco_passage_49_276130004	36
msmarco_passage_49_299826991	67
msmarco_passage_49_606337914	81
msmarco_passage_50_620785847	65
msmarco_passage_51_270204369	41
msmarco_passage_51_428511348	43
msmarco_passage_51_432620527	66
msmarco_passage_52_371684906	47
msmarco_passage_52_371686573	41
msmarco_passage_52_371745881	80
msmarco_passage_52_398830228	37
msmarco_passage_52_699162482	41
msmarco_passage_52_699218742	63
msmarco_passage_53_671501563	52
msmarco_passage_54_177831271	50
msmarco_passage_54_435265596	49
msmarco_passage_54_435266033	53
msmarco_passage_54_763355067	54
msmarco_passage_55_187718596	64
msmarco_passage_55_187722145	52
msmarco_passage_55_187731036	53
msmarco_passage_55_690353311	25
msmarco_passage_56_515500534	72
msmarco_passage_56_772070896	52
msmarco_passage_58_789025717	70
msmarco_passage_59_625203441	2680
msmarco_passage_59_802849728	47
msmarco_passage_60_353412311	52
msmarco_passage_61_126844542	69
msmarco_passage_61_196255883	51
msmarco_passage_61_509329107	56
msmarco_passage_61_785270176	68
msmarco_passage_62_171061577	72
msmarco_passage_63_353101777	48
msmarco_passage_63_353103105	46
msmarco_passage_64_612706292	58
msmarco_passage_64_693853502	44
msmarco_passage_65_41489846	58
msmarco_passage_65_485369065	73
msmarco_passage_65_485385777	49
msmarco_passage_65_485467884	44
msmarco_passage_65_485502755	74
msmarco_passage_65_485515911	53
msmarco_passage_65_485533336	50
msmarco_passage_65_485632631	70
msmarco_passage_65_485715750	49
msmarco_passage_65_485782800	74
msmarco_passage_65_485795956	53
msmarco_passage_65_485820918	50
msmarco_passage_65_683992104	235
msmarco_passage_65_746703889	41
msmarco_passage_66_212979855	53
msmarco_passage_68_196587844	74
msmarco_passage_68_736641685	56
msmarco_passage_00_168095376	46
msmarco_passage_00_487696375	49
msmarco_passage_00_511580346	51
msmarco_passage_00_811682654	78
msmarco_passage_00_814806476	83
msmarco_passage_01_169147846	65
msmarco_passage_01_261073817	53
msmarco_passage_02_13550959	60
msmarco_passage_02_227193632	73
msmarco_passage_02_349646691	51
msmarco_passage_02_520159544	48
msmarco_passage_02_520159945	41
msmarco_passage_02_520162069	47
msmarco_passage_02_580747577	60
msmarco_passage_02_580748048	70
msmarco_passage_02_580754636	52
msmarco_passage_02_583642685	46
msmarco_passage_02_583646928	64
msmarco_passage_02_583647401	60
msmarco_passage_02_583786331	52
msmarco_passage_02_584359839	97
msmarco_passage_02_584384097	51
msmarco_passage_02_584387125	47
msmarco_passage_02_584855914	51
msmarco_passage_02_869009423	52
msmarco_passage_03_506874899	74
msmarco_passage_03_507383131	75
msmarco_passage_03_507387983	85
msmarco_passage_03_831886093	49
msmarco_passage_04_111199807	44
msmarco_passage_04_130670792	44
msmarco_passage_04_751224301	59
msmarco_passage_04_82539207	61
msmarco_passage_04_82541035	41
msmarco_passage_04_82541377	39
msmarco_passage_05_446169807	41
msmarco_passage_05_446170166	45
msmarco_passage_05_446170521	49
msmarco_passage_05_446265833	57
msmarco_passage_05_446297953	60
msmarco_passage_05_446299730	44
msmarco_passage_05_545126578	50
msmarco_passage_05_545126967	58
msmarco_passage_05_663940287	48
msmarco_passage_05_782266815	56
msmarco_passage_05_783335007	40
msmarco_passage_05_784896494	56
msmarco_passage_05_787242681	60
msmarco_passage_05_787259641	59
msmarco_passage_05_789196075	55
msmarco_passage_05_791117975	72
msmarco_passage_05_791118482	55
msmarco_passage_05_791120370	56
msmarco_passage_05_791525585	56
msmarco_passage_05_791547715	67
msmarco_passage_05_791707575	57
msmarco_passage_05_791711729	57
msmarco_passage_05_791713620	50
msmarco_passage_06_110048395	52
msmarco_passage_07_292494109	56
msmarco_passage_07_71591566	88
msmarco_passage_07_71592264	66
msmarco_passage_07_73025267	47
msmarco_passage_08_684826797	48
msmarco_passage_08_684827198	41
msmarco_passage_08_684829322	47
msmarco_passage_08_713912023	62
msmarco_passage_08_715517992	92
msmarco_passage_08_785636656	98
msmarco_passage_08_785641368	65
msmarco_passage_08_787529175	43
msmarco_passage_08_788502373	43
msmarco_passage_08_791365542	60
msmarco_passage_08_791366014	70
msmarco_passage_08_791372618	52
msmarco_passage_08_794124602	53
msmarco_passage_08_794174637	80
msmarco_passage_08_798724529	58
msmarco_passage_08_798734895	57
msmarco_passage_08_800569940	73
msmarco_passage_08_800673058	43
msmarco_passage_09_782586228	64
msmarco_passage_09_99683703	61
msmarco_passage_10_186302898	50
msmarco_passage_10_523051372	44
msmarco_passage_10_523053085	55
msmarco_passage_10_535282295	45
msmarco_passage_10_540510691	51
msmarco_passage_10_540511093	77
msmarco_passage_10_540712277	54
msmarco_passage_10_541565300	52
msmarco_passage_10_576730203	52
msmarco_passage_10_792445906	59
msmarco_passage_10_792446398	48
msmarco_passage_10_792446784	30
msmarco_passage_10_792448794	44
msmarco_passage_10_792451008	50
msmarco_passage_10_792452370	47
msmarco_passage_11_157434489	113
msmarco_passage_11_157435818	102
msmarco_passage_11_157440464	111
msmarco_passage_11_157442543	122
msmarco_passage_12_167225472	147
msmarco_passage_12_202386324	54
msmarco_passage_12_227131775	51
msmarco_passage_12_227132276	42
msmarco_passage_12_231097011	77
msmarco_passage_12_235708645	64
msmarco_passage_12_24862058	74
msmarco_passage_12_24864770	68
msmarco_passage_12_437331622	66
msmarco_passage_12_57149515	66
msmarco_passage_12_861732032	50
msmarco_passage_12_861733223	43
msmarco_passage_13_633511144	57
msmarco_passage_14_639660303	60
msmarco_passage_14_654226541	60
msmarco_passage_14_668445561	51
msmarco_passage_14_670278844	41
msmarco_passage_14_683050510	51
msmarco_passage_15_501303715	60
msmarco_passage_15_743661029	55
msmarco_passage_15_743668378	63
msmarco_passage_16_716219128	51
msmarco_passage_16_719300760	59
msmarco_passage_16_722766293	45
msmarco_passage_16_723005204	47
msmarco_passage_16_723221886	60
msmarco_passage_16_723617785	60
msmarco_passage_16_723618252	44
msmarco_passage_16_723621767	46
msmarco_passage_16_723622144	44
msmarco_passage_16_725354604	58
msmarco_passage_16_728671457	44
msmarco_passage_16_732340564	55
msmarco_passage_16_735001248	61
msmarco_passage_16_735788535	73
msmarco_passage_17_319343049	34
msmarco_passage_17_319345083	56
msmarco_passage_17_319346378	47
msmarco_passage_17_319346826	56
msmarco_passage_17_319348398	39
msmarco_passage_17_319359969	34
msmarco_passage_17_319362003	56
msmarco_passage_17_319363298	47
msmarco_passage_17_319363746	56
msmarco_passage_22_842031002	49
msmarco_passage_22_842459577	30
msmarco_passage_23_418857091	57
msmarco_passage_23_485334151	62
msmarco_passage_24_524387173	70
msmarco_passage_24_559830833	56
msmarco_passage_25_450832502	35
msmarco_passage_25_450833239	78
msmarco_passage_25_466333094	61
msmarco_passage_25_466333565	51
msmarco_passage_26_553790960	60
msmarco_passage_27_571682135	53
msmarco_passage_28_640017433	49
msmarco_passage_28_640017824	47
msmarco_passage_28_823019064	82
msmarco_passage_29_553977898	56
msmarco_passage_29_553978345	43
msmarco_passage_29_553978721	55
msmarco_passage_29_702172134	50
msmarco_passage_29_702173325	43
msmarco_passage_29_704697996	75
msmarco_passage_29_718104396	52
msmarco_passage_29_718117907	53
msmarco_passage_29_718781306	51
msmarco_passage_29_718782526	60
msmarco_passage_29_718784724	50
msmarco_passage_29_728272313	71
msmarco_passage_29_732395241	42
msmarco_passage_29_738761990	46
msmarco_passage_29_738766223	64
msmarco_passage_29_738766695	60
msmarco_passage_29_739259932	52
msmarco_passage_29_741165038	97
msmarco_passage_29_741196581	51
msmarco_passage_29_741199602	47
msmarco_passage_29_742518642	51
msmarco_passage_30_173512249	56
msmarco_passage_30_173629920	64
msmarco_passage_30_173637222	51
msmarco_passage_30_174032363	48
msmarco_passage_30_512376376	59
msmarco_passage_30_512397247	51
msmarco_passage_30_512397671	51
msmarco_passage_30_513995740	83
msmarco_passage_30_513998835	62
msmarco_passage_30_514056887	83
msmarco_passage_30_514059982	62
msmarco_passage_30_847123194	48
msmarco_passage_32_774442907	42
msmarco_passage_32_87402267	52
msmarco_passage_33_577050808	51
msmarco_passage_33_845872156	61
msmarco_passage_33_846286076	58
msmarco_passage_34_359969586	83
msmarco_passage_34_359971032	71
msmarco_passage_34_359971564	62
msmarco_passage_34_359972501	36
msmarco_passage_34_359973750	34
msmarco_passage_34_359974813	59
msmarco_passage_34_370281289	54
msmarco_passage_34_680011479	66
msmarco_passage_34_762747710	55
msmarco_passage_34_764511769	79
msmarco_passage_34_764512362	53
msmarco_passage_34_764512758	59
msmarco_passage_34_766441643	55
msmarco_passage_35_200893127	56
msmarco_passage_35_200895324	45
msmarco_passage_35_581901893	44
msmarco_passage_35_581903610	55
msmarco_passage_35_582418943	55
msmarco_passage_35_792948542	88
msmarco_passage_35_797932950	53
msmarco_passage_35_797933720	65
msmarco_passage_35_799012265	62
msmarco_passage_35_810040650	52
msmarco_passage_36_145101507	45
msmarco_passage_37_298302426	38
msmarco_passage_37_298823409	49
msmarco_passage_37_360106013	51
msmarco_passage_37_360112280	65
msmarco_passage_37_395576163	52
msmarco_passage_37_395577726	68
msmarco_passage_37_471183234	47
msmarco_passage_37_478133227	56
msmarco_passage_37_478141589	54
msmarco_passage_37_478523914	48
msmarco_passage_37_478524753	51
msmarco_passage_38_29866315	49
msmarco_passage_38_72705200	53
msmarco_passage_38_72781301	43
msmarco_passage_38_72786686	68
msmarco_passage_39_807750509	61
msmarco_passage_40_723190847	41
msmarco_passage_40_723192011	52
msmarco_passage_41_281609231	59
msmarco_passage_41_281609687	58
msmarco_passage_41_282592019	58
msmarco_passage_41_282599588	59
msmarco_passage_41_282600519	53
msmarco_passage_42_64513866	37
msmarco_passage_42_68867924	37
msmarco_passage_42_822349608	57
msmarco_passage_42_822572775	66
msmarco_passage_42_823954859	51
msmarco_passage_42_823955331	43
msmarco_passage_42_823955713	54
msmarco_passage_42_826480138	57
msmarco_passage_42_830618044	54
msmarco_passage_42_832299744	42
msmarco_passage_42_833417714	57
msmarco_passage_42_833560506	52
msmarco_passage_43_237160840	69
msmarco_passage_43_258617266	55
msmarco_passage_43_45450595	60
msmarco_passage_43_45452368	44
msmarco_passage_43_534033773	48
msmarco_passage_44_252370953	57
msmarco_passage_44_37058054	49
msmarco_passage_44_38057657	56
msmarco_passage_44_39448737	55
msmarco_passage_44_39609825	57
msmarco_passage_44_53661281	60
msmarco_passage_44_53693134	59
msmarco_passage_44_56769437	59
msmarco_passage_44_64114390	48
msmarco_passage_44_64114789	53
msmarco_passage_44_64115166	67
msmarco_passage_44_64450772	72
msmarco_passage_44_64451277	55
msmarco_passage_44_64453157	56
msmarco_passage_44_70553671	61
msmarco_passage_44_70554149	59
msmarco_passage_46_31753559	53
msmarco_passage_46_817515231	65
msmarco_passage_46_817575108	64
msmarco_passage_49_606872897	47
msmarco_passage_50_36513995	77
msmarco_passage_50_588022923	69
msmarco_passage_50_622841760	56
msmarco_passage_51_487934687	82
msmarco_passage_51_868657591	85
msmarco_passage_51_868658228	66
msmarco_passage_51_868659205	60
msmarco_passage_52_746158741	62
msmarco_passage_53_714073382	63
msmarco_passage_53_763274220	52
msmarco_passage_53_764593711	47
msmarco_passage_53_764594080	41
msmarco_passage_54_182329614	58
msmarco_passage_54_690295893	54
msmarco_passage_55_12050995	47
msmarco_passage_56_501454605	62
msmarco_passage_56_515453138	66
msmarco_passage_56_823704610	75
msmarco_passage_56_827710005	62
msmarco_passage_56_830605294	62
msmarco_passage_56_834945330	52
msmarco_passage_56_844673452	54
msmarco_passage_56_844766481	53
msmarco_passage_56_844920232	84
msmarco_passage_56_844958700	80
msmarco_passage_56_846675995	66
msmarco_passage_56_848128119	50
msmarco_passage_56_850290986	75
msmarco_passage_56_855018319	42
msmarco_passage_56_856792140	63
msmarco_passage_56_856792601	47
msmarco_passage_56_856798751	50
msmarco_passage_56_856934512	60
msmarco_passage_56_856939384	58
msmarco_passage_56_856949750	57
msmarco_passage_56_865119646	73
msmarco_passage_57_1483781	52
msmarco_passage_57_321507	43
msmarco_passage_57_422483915	70
msmarco_passage_57_422484424	58
msmarco_passage_57_422489483	35
msmarco_passage_57_646825463	42
msmarco_passage_57_646825866	48
msmarco_passage_57_777554560	66
msmarco_passage_57_777966761	61
msmarco_passage_59_447160830	63
msmarco_passage_59_449739475	77
msmarco_passage_59_785336628	50
msmarco_passage_59_857643102	55
msmarco_passage_60_835093147	53
msmarco_passage_61_544463201	68
msmarco_passage_62_213936181	59
msmarco_passage_63_395903441	51
msmarco_passage_63_442985002	54
msmarco_passage_63_446400865	50
msmarco_passage_63_692905248	78
msmarco_passage_63_728748671	75
msmarco_passage_63_728753511	85
msmarco_passage_63_801799045	78
msmarco_passage_63_807887053	62
msmarco_passage_63_809427358	75
msmarco_passage_63_809432210	85
msmarco_passage_64_667557654	62
msmarco_passage_65_823490901	67
msmarco_passage_66_161333771	49
msmarco_passage_66_162829663	52
msmarco_passage_66_162830500	65
msmarco_passage_66_164035370	57
msmarco_passage_66_167231789	46
msmarco_passage_66_167247347	45
msmarco_passage_66_173257160	52
msmarco_passage_67_199706722	55
msmarco_passage_67_199707154	57
msmarco_passage_67_304932342	58
msmarco_passage_67_304932841	53
msmarco_passage_67_304938474	60
msmarco_passage_67_304939432	45
msmarco_passage_67_304940290	59
msmarco_passage_67_304940783	48
msmarco_passage_67_304941170	30
msmarco_passage_67_304943185	44
msmarco_passage_67_304945404	50
msmarco_passage_67_304946769	47
msmarco_passage_67_304962910	58
msmarco_passage_67_304963409	53
msmarco_passage_67_304969042	60
msmarco_passage_67_304970000	45
msmarco_passage_67_305411262	25
msmarco_passage_67_82272626	55
msmarco_passage_69_68350989	55
msmarco_passage_69_68360025	53
msmarco_passage_00_196698783	195
msmarco_passage_00_242627643	43
msmarco_passage_01_285737851	79
msmarco_passage_02_38382974	113
msmarco_passage_02_743672560	76
msmarco_passage_03_504946967	119
msmarco_passage_03_573615673	43
msmarco_passage_03_701211966	52
msmarco_passage_03_79527616	46
msmarco_passage_03_79528107	45
msmarco_passage_03_79528566	28
msmarco_passage_04_234033192	6792
msmarco_passage_04_234099816	3129
msmarco_passage_04_276664479	1057
msmarco_passage_04_721885502	39
msmarco_passage_04_845843706	2953
msmarco_passage_05_195345557	36
msmarco_passage_06_418440908	38
msmarco_passage_06_418441351	50
msmarco_passage_07_190132757	52
msmarco_passage_07_418764733	66
msmarco_passage_07_793076063	59
msmarco_passage_08_308787605	40
msmarco_passage_08_855781628	91
msmarco_passage_09_108135148	44
msmarco_passage_09_108647123	30
msmarco_passage_09_31965496	38
msmarco_passage_09_564007506	47
msmarco_passage_10_157217133	49
msmarco_passage_10_491418608	51
msmarco_passage_10_514821741	42
msmarco_passage_10_728323883	1084
msmarco_passage_10_80048970	42
msmarco_passage_10_83244980	42
msmarco_passage_11_102041018	36
msmarco_passage_12_560470391	43
msmarco_passage_12_561075388	38
msmarco_passage_12_676791900	34
msmarco_passage_13_653470886	50
msmarco_passage_14_427838282	44
msmarco_passage_14_69585539	88
msmarco_passage_14_751178923	58
msmarco_passage_15_333000873	52
msmarco_passage_15_390867377	44
msmarco_passage_16_211954668	55
msmarco_passage_16_745408957	47
msmarco_passage_17_414286622	44
msmarco_passage_17_431869830	62
msmarco_passage_17_762440780	42
msmarco_passage_17_771048309	62
msmarco_passage_18_495494310	34
msmarco_passage_19_335911850	63
msmarco_passage_20_395136647	39
msmarco_passage_20_491332952	34
msmarco_passage_21_454819628	39
msmarco_passage_21_467815404	49
msmarco_passage_22_447725701	79
msmarco_passage_22_868361979	54
msmarco_passage_22_868363113	41
msmarco_passage_23_550671209	49
msmarco_passage_23_555527421	111
msmarco_passage_23_584358449	66
msmarco_passage_23_585946692	222
msmarco_passage_24_473063755	63
msmarco_passage_25_502982270	48
msmarco_passage_26_356251041	66
msmarco_passage_26_367186002	43
msmarco_passage_27_41245181	55
msmarco_passage_28_140202266	82
msmarco_passage_28_635332826	95
msmarco_passage_29_201935117	37
msmarco_passage_30_197729716	45
msmarco_passage_31_460254191	56
msmarco_passage_31_467994913	36
msmarco_passage_31_807629831	73
msmarco_passage_32_427195741	46
msmarco_passage_32_463280864	48
msmarco_passage_33_342728828	46
msmarco_passage_33_342740554	47
msmarco_passage_33_343001800	46
msmarco_passage_33_508424236	45
msmarco_passage_33_607126025	64
msmarco_passage_33_672505172	41
msmarco_passage_33_95443135	39
msmarco_passage_34_565135793	40
msmarco_passage_35_367000150	48
msmarco_passage_35_489289451	38
msmarco_passage_35_548608300	37
msmarco_passage_35_548611273	41
msmarco_passage_35_610168726	119
msmarco_passage_35_828619551	50
msmarco_passage_36_128390438	44
msmarco_passage_36_160041501	43
msmarco_passage_36_468067230	61
msmarco_passage_37_207925368	41
msmarco_passage_37_379797978	58
msmarco_passage_40_487358745	61
msmarco_passage_40_568957087	87
msmarco_passage_41_154581216	73
msmarco_passage_41_171969265	43
msmarco_passage_41_171969658	67
msmarco_passage_41_171972170	83
msmarco_passage_41_171975239	74
msmarco_passage_41_171977840	74
msmarco_passage_41_709927587	47
msmarco_passage_42_211216586	34
msmarco_passage_42_294004323	38
msmarco_passage_42_31974015	36
msmarco_passage_42_563698178	79
msmarco_passage_43_296576747	39
msmarco_passage_43_773303586	46
msmarco_passage_44_735898850	37
msmarco_passage_44_848419416	41
msmarco_passage_45_196462534	42
msmarco_passage_45_549344674	50
msmarco_passage_45_659751592	56
msmarco_passage_46_133583997	31
msmarco_passage_46_138427163	47
msmarco_passage_46_141942332	43
msmarco_passage_46_142001793	40
msmarco_passage_46_143016342	80
msmarco_passage_46_143670955	31
msmarco_passage_46_145717306	31
msmarco_passage_46_150397788	23
msmarco_passage_46_150573056	32
msmarco_passage_46_342514978	49
msmarco_passage_46_342515379	49
msmarco_passage_47_5205964	44
msmarco_passage_47_617632566	59
msmarco_passage_48_373160065	48
msmarco_passage_49_853808962	33
msmarco_passage_50_184021506	78
msmarco_passage_51_248216039	59
msmarco_passage_51_421989228	33
msmarco_passage_52_118074106	54
msmarco_passage_52_124468152	84
msmarco_passage_52_126732310	120
msmarco_passage_52_290632644	93
msmarco_passage_52_472246729	97
msmarco_passage_52_493348087	59
msmarco_passage_52_84192876	188
msmarco_passage_52_92556890	57
msmarco_passage_52_96307897	48
msmarco_passage_53_272262600	73
msmarco_passage_53_272263202	52
msmarco_passage_53_45905793	59
msmarco_passage_54_534805857	54
msmarco_passage_54_534806319	69
msmarco_passage_55_339958444	64
msmarco_passage_55_729492137	45
msmarco_passage_55_729499738	50
msmarco_passage_55_729510264	43
msmarco_passage_55_729520134	49
msmarco_passage_56_475519505	49
msmarco_passage_56_773580535	43
msmarco_passage_56_773583664	43
msmarco_passage_56_773586811	44
msmarco_passage_56_773593031	36
msmarco_passage_57_30757295	41
msmarco_passage_57_812876822	49
msmarco_passage_57_812877287	62
msmarco_passage_57_812883072	74
msmarco_passage_58_755316285	48
msmarco_passage_58_755318314	48
msmarco_passage_59_341445605	88
msmarco_passage_59_463984851	55
msmarco_passage_59_658695050	44
msmarco_passage_59_659368991	86
msmarco_passage_59_661195776	80
msmarco_passage_59_86171719	71
msmarco_passage_59_87037784	42
msmarco_passage_59_87040711	44
msmarco_passage_59_87041104	57
msmarco_passage_59_87044709	71
msmarco_passage_59_87045838	38
msmarco_passage_60_103814777	61
msmarco_passage_60_103815729	61
msmarco_passage_60_274250700	30
msmarco_passage_61_117666496	47
msmarco_passage_61_206090704	42
msmarco_passage_62_20471683	43
msmarco_passage_65_112094317	46
msmarco_passage_65_116271351	92
msmarco_passage_65_137153810	49
msmarco_passage_65_565223287	51
msmarco_passage_65_675355039	31
msmarco_passage_66_222950802	208
msmarco_passage_66_857225306	31
msmarco_passage_66_857225701	28
msmarco_passage_68_56963457	42
msmarco_passage_68_57835183	46
msmarco_passage_00_235313788	56
msmarco_passage_00_576046987	51
msmarco_passage_01_307812639	62
msmarco_passage_01_633175576	48
msmarco_passage_02_379343042	70
msmarco_passage_03_12320224	54
msmarco_passage_04_234033192	6792
msmarco_passage_04_272034836	57
msmarco_passage_05_5047160	46
msmarco_passage_06_513910155	48
msmarco_passage_06_556980951	53
msmarco_passage_06_67934239	78
msmarco_passage_07_195007984	63
msmarco_passage_07_24014972	57
msmarco_passage_07_60720164	49
msmarco_passage_07_60720639	54
msmarco_passage_07_77773125	52
msmarco_passage_07_77929248	57
msmarco_passage_07_78176754	52
msmarco_passage_07_78178751	45
msmarco_passage_07_79109230	46
msmarco_passage_10_280220045	56
msmarco_passage_10_777443565	59
msmarco_passage_10_777445796	51
msmarco_passage_10_777446603	45
msmarco_passage_10_777454952	61
msmarco_passage_10_777459652	49
msmarco_passage_10_777461457	49
msmarco_passage_10_777461886	56
msmarco_passage_10_777468144	49
msmarco_passage_10_777468997	47
msmarco_passage_10_777469416	59
msmarco_passage_10_777491923	41
msmarco_passage_10_777583845	59
msmarco_passage_10_811592029	57
msmarco_passage_10_867545805	74
msmarco_passage_12_254810331	57
msmarco_passage_12_254811778	47
msmarco_passage_12_265969170	61
msmarco_passage_12_484748057	44
msmarco_passage_12_654455610	61
msmarco_passage_13_503453144	49
msmarco_passage_14_842519018	51
msmarco_passage_15_113969615	53
msmarco_passage_16_117951074	57
msmarco_passage_16_427848899	54
msmarco_passage_16_427849350	61
msmarco_passage_17_319682316	44
msmarco_passage_22_122364501	48
msmarco_passage_22_145989268	57
msmarco_passage_23_379927187	68
msmarco_passage_24_667334225	51
msmarco_passage_24_678808627	39
msmarco_passage_24_690163279	56
msmarco_passage_24_707683111	46
msmarco_passage_24_714858471	31
msmarco_passage_24_717159824	72
msmarco_passage_24_723223529	58
msmarco_passage_24_723380216	48
msmarco_passage_24_729039831	44
msmarco_passage_24_741712533	58
msmarco_passage_24_743860328	54
msmarco_passage_24_752702268	63
msmarco_passage_24_765797571	61
msmarco_passage_24_765804598	54
msmarco_passage_24_799231624	61
msmarco_passage_24_808003507	50
msmarco_passage_24_817600292	48
msmarco_passage_24_819311315	48
msmarco_passage_24_819314665	60
msmarco_passage_24_820406134	59
msmarco_passage_24_835194432	48
msmarco_passage_24_835196238	48
msmarco_passage_24_841925636	42
msmarco_passage_24_841966513	45
msmarco_passage_24_842971750	49
msmarco_passage_24_846047571	58
msmarco_passage_24_852249195	64
msmarco_passage_24_855939483	57
msmarco_passage_24_855940760	64
msmarco_passage_24_857412784	57
msmarco_passage_25_100154152	54
msmarco_passage_25_23348410	43
msmarco_passage_25_30301067	53
msmarco_passage_25_618543334	38
